RANK,ID,CitationCount,CiteScore,SJR
1,28773,11957,89.23,39.285
1,28773,11957,89.23,39.285
1,23340,33976,42.79,19.282
2,23350,43909,35.7,14.994
1,29719,4389,35.68,23.543
1,26651,1514,35.21,22.491
1,26651,1514,35.21,22.491
1,20651,2528,35.11,27.631
1,20651,2528,35.11,27.631
1,17814,1087,30.19,8.947
1,17814,1087,30.19,8.947
1,17814,1087,30.19,8.947
2,17899,2191,30.01,9.215
1,24004,3374,29.6,16.888
1,24004,3374,29.6,16.888
1,24004,3374,29.6,16.888
1,24004,3374,29.6,16.888
1,26465,5008,27.07,8.043
1,26465,5008,27.07,8.043
1,26465,5008,27.07,8.043
1,26465,5008,27.07,8.043
1,26465,5008,27.07,8.043
1,17500155114,28927,26.39,12.14
1,17500155114,28927,26.39,12.14
1,17500155114,28927,26.39,12.14
1,17500155114,28927,26.39,12.14
2,16721,2169,25.22,14.03
2,16721,2169,25.22,14.03
1,16721,2169,25.22,14.03
1,16721,2169,25.22,14.03
1,12010,2000,24.69,12.32
1,11300153736,1288,23.85,12.833
1,17900156715,7449,23.8,4.165
3,17854,19953,23.67,18.032
3,17854,19953,23.67,18.032
1,17854,19953,23.67,18.032
2,17854,19953,23.67,18.032
2,17854,19953,23.67,18.032
1,16801,2177,23.16,19.942
1,19600166419,92,23,2.902
1,18434,42951,22.79,26.947
1,19651,2614,22.15,10.019
1,19651,2614,22.15,10.019
1,19651,2614,22.15,10.019
1,19651,2614,22.15,10.019
1,19651,2614,22.15,10.019
1,5200152704,16825,21.85,18.746
1,5200152704,16825,21.85,18.746
1,5200152704,16825,21.85,18.746
4,5200152704,16825,21.85,18.746
2,5200152704,16825,21.85,18.746
2,5200152704,16825,21.85,18.746
1,5700165152,14287,21.32,15.831
2,5700165152,14287,21.32,15.831
3,19700188417,994,21.15,15.173
5,19700188417,994,21.15,15.173
4,22657,20411,20.85,10.782
2,22657,20411,20.85,10.782
1,18990,19289,20.83,20.899
4,26978,350,20.59,13.549
1,27538,1229,19.82,5.551
1,27538,1229,19.82,5.551
1,27538,1229,19.82,5.551
1,58530,781,19.05,13.194
1,21191,1837,18.37,7.827
1,21191,1837,18.37,7.827
1,19434,622,18.29,14.208
3,19434,622,18.29,14.208
1,19434,622,18.29,14.208
2,19434,622,18.29,14.208
1,19434,622,18.29,14.208
3,19881,51172,17.79,8.364
3,19881,51172,17.79,8.364
