ID,Title,Type
28773,Ca-A Cancer Journal for Clinicians,Journal
28773,Ca-A Cancer Journal for Clinicians,Journal
23340,Chemical Reviews,Journal
23350,Chemical Society Reviews,Journal
29719,Reviews of Modern Physics,Journal
26651,Annual Review of Astronomy and Astrophysics,Book Series
26651,Annual Review of Astronomy and Astrophysics,Book Series
20651,Annual Review of Immunology,Book Series
20651,Annual Review of Immunology,Book Series
17814,Materials Science and Engineering: R: Reports,Journal
17814,Materials Science and Engineering: R: Reports,Journal
17814,Materials Science and Engineering: R: Reports,Journal
17899,Progress in Materials Science,Journal
24004,Physiological Reviews,Journal
24004,Physiological Reviews,Journal
24004,Physiological Reviews,Journal
24004,Physiological Reviews,Journal
26465,Progress in Polymer Science,Journal
26465,Progress in Polymer Science,Journal
26465,Progress in Polymer Science,Journal
26465,Progress in Polymer Science,Journal
26465,Progress in Polymer Science,Journal
17500155114,Energy and Environmental Science,Journal
17500155114,Energy and Environmental Science,Journal
17500155114,Energy and Environmental Science,Journal
17500155114,Energy and Environmental Science,Journal
16721,Annual Review of Plant Biology,Book Series
16721,Annual Review of Plant Biology,Book Series
16721,Annual Review of Plant Biology,Book Series
16721,Annual Review of Plant Biology,Book Series
12010,Annual Review of Psychology,Book Series
11300153736,Annual Review of Pathology: Mechanisms of Disease,Book Series
17900156715,IEEE Communications Surveys and Tutorials,Journal
17854,Nature Materials,Journal
17854,Nature Materials,Journal
17854,Nature Materials,Journal
17854,Nature Materials,Journal
17854,Nature Materials,Journal
16801,Annual Review of Biochemistry,Book Series
19600166419,Foundations and Trends in Signal Processing,Journal
18434,Cell,Journal
19651,Clinical Microbiology Reviews,Journal
19651,Clinical Microbiology Reviews,Journal
19651,Clinical Microbiology Reviews,Journal
19651,Clinical Microbiology Reviews,Journal
19651,Clinical Microbiology Reviews,Journal
5200152704,Nature Nanotechnology,Journal
5200152704,Nature Nanotechnology,Journal
5200152704,Nature Nanotechnology,Journal
5200152704,Nature Nanotechnology,Journal
5200152704,Nature Nanotechnology,Journal
5200152704,Nature Nanotechnology,Journal
5700165152,Nature Photonics,Journal
5700165152,Nature Photonics,Journal
19700188417,Annual Review of Condensed Matter Physics,Journal
19700188417,Annual Review of Condensed Matter Physics,Journal
22657,Accounts of Chemical Research,Journal
22657,Accounts of Chemical Research,Journal
18990,Nature Genetics,Journal
26978,Advances in Physics,Journal
27538,Progress in Energy and Combustion Science,Journal
27538,Progress in Energy and Combustion Science,Journal
27538,Progress in Energy and Combustion Science,Journal
58530,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",Book Series
21191,Pharmacological Reviews,Journal
21191,Pharmacological Reviews,Journal
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,Journal
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,Journal
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,Journal
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,Journal
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,Journal
19881,Advanced Materials,Journal
19881,Advanced Materials,Journal
19881,Advanced Materials,Journal
20278,Microbiology and Molecular Biology Reviews,Journal
20278,Microbiology and Molecular Biology Reviews,Journal
21100228100,Advances in Optics and Photonics,Journal
20798,Immunity,Journal
20798,Immunity,Journal
20798,Immunity,Journal
29229,Physics Reports,Journal
20315,Nature Reviews Molecular Cell Biology,Journal
20315,Nature Reviews Molecular Cell Biology,Journal
13839,Annual Review of Fluid Mechanics,Book Series
28677,Living Reviews in Relativity,Journal
14181,Annual Review of Neuroscience,Book Series
29093,Cancer Cell,Journal
29093,Cancer Cell,Journal
29093,Cancer Cell,Journal
12464,Nature Reviews Cancer,Journal
12464,Nature Reviews Cancer,Journal
19133,Annual Review of Entomology,Book Series
19133,Annual Review of Entomology,Book Series
18395,Annual Review of Cell and Developmental Biology,Book Series
18395,Annual Review of Cell and Developmental Biology,Book Series
18991,Nature Reviews Genetics,Journal
18991,Nature Reviews Genetics,Journal
18991,Nature Reviews Genetics,Journal
26555,Annual Review of Physical Chemistry,Book Series
120008,Annual Review of Physiology,Book Series
19479,Annual Review of Pharmacology and Toxicology,Book Series
19479,Annual Review of Pharmacology and Toxicology,Book Series
4400151750,Foundations and Trends in Theoretical Computer Science,Journal
21318,Nature Reviews Immunology,Journal
4600151524,Annual Review of Clinical Psychology,Journal
4600151524,Annual Review of Clinical Psychology,Journal
4600151524,Annual Review of Clinical Psychology,Journal
17269,Studies in Mycology,Journal
18100156701,Nature Chemistry,Journal
18100156701,Nature Chemistry,Journal
15819,Nature Medicine,Journal
15819,Nature Medicine,Journal
23571,Science,Journal
13443,Psychological Bulletin,Journal
